City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.26,65,13,5.35,PN,1711485228
1,wajir,1.7471,40.0573,30.93,54,100,7.58,KE,1711485228
2,ushuaia,-54.8,-68.3,14.79,58,40,1.03,AR,1711485031
3,waitangi,-43.9535,-176.5597,14.9,91,100,4.02,NZ,1711485229
4,grytviken,-54.2811,-36.5092,4.13,80,56,2.27,GS,1711485229
5,paka,4.6374,103.4368,23.96,94,74,0.0,MY,1711485229
6,bethel,41.3712,-73.414,12.05,63,100,3.09,US,1711485117
7,el granada,37.5027,-122.4694,18.05,70,40,7.2,US,1711484968
8,puerto natales,-51.7236,-72.4875,14.25,47,40,13.38,CL,1711485229
9,baruun-urt,46.6806,113.2792,-4.68,68,95,2.1,MN,1711485229
10,sinop,41.7711,34.8709,2.53,73,1,3.49,TR,1711485068
11,colonia,50.9333,6.95,12.36,58,20,4.12,DE,1711485175
12,jevargi,17.0167,76.7667,29.24,29,8,6.9,IN,1711485229
13,port-aux-francais,-49.35,70.2167,5.79,91,100,15.19,TF,1711485229
14,lebu,-37.6167,-73.65,17.22,86,42,5.69,CL,1711485144
15,blackmans bay,-43.0167,147.3167,8.62,86,38,2.24,AU,1711485229
16,'ain el turk,35.7438,-0.7693,13.38,54,40,11.83,DZ,1711485229
17,egersund,58.4513,5.9997,6.16,85,100,9.86,NO,1711485061
18,margaret river,-33.95,115.0667,12.99,84,3,2.49,AU,1711484971
19,papatowai,-46.5619,169.4708,6.43,93,96,7.57,NZ,1711485230
20,kuala terengganu,5.3302,103.1408,25.97,94,20,1.03,MY,1711485182
21,wailua homesteads,22.0669,-159.378,25.24,82,100,8.23,US,1711485230
22,north perth,43.7251,-80.9672,9.4,86,100,7.62,CA,1711485230
23,iqaluit,63.7506,-68.5145,-12.15,61,20,4.12,CA,1711485230
24,la'ie,21.6477,-157.9253,27.98,74,15,3.58,US,1711485230
25,west island,-12.1568,96.8225,26.99,89,100,2.57,CC,1711485230
26,tolanaro,-25.0319,46.9987,24.04,73,40,6.17,MG,1711485230
27,bilibino,68.0546,166.4372,-20.44,79,4,0.86,RU,1711485230
28,tiksi,71.6872,128.8694,-28.68,98,99,3.45,RU,1711485230
29,callao,-12.0667,-77.15,24.16,73,100,4.63,PE,1711484961
30,aykhal,66.0,111.5,-23.17,99,100,3.19,RU,1711485230
31,puerto ayora,-0.7393,-90.3518,25.98,100,62,3.13,EC,1711485083
32,olonkinbyen,70.9221,-8.7187,-3.55,59,75,4.55,SJ,1711485230
33,ancud,-41.8697,-73.8203,15.07,74,69,2.27,CL,1711485230
34,nar'yan-mar,67.6713,53.087,-14.94,97,100,1.34,RU,1711485198
35,junin,-34.5838,-60.9433,24.29,67,9,3.06,AR,1711485114
36,newman,37.3138,-121.0208,18.47,59,8,1.79,US,1711485231
37,la ronge,55.1001,-105.2842,-5.88,27,0,5.66,CA,1711485231
38,yellowknife,62.456,-114.3525,-0.71,59,40,4.63,CA,1711485231
39,hawaiian paradise park,19.5933,-154.9731,26.04,78,100,0.89,US,1711485231
40,new norfolk,-42.7826,147.0587,9.28,95,21,1.22,AU,1711485231
41,kodiak,57.79,-152.4072,4.73,81,0,0.0,US,1711484947
42,langxiang,46.95,128.8833,-5.96,85,28,0.78,CN,1711485231
43,isafjordur,66.0755,-23.124,-4.1,75,92,6.47,IS,1711485231
44,masina,-4.3836,15.3914,29.16,65,20,0.0,CD,1711485231
45,inhambane,-23.865,35.3833,23.66,84,39,4.05,MZ,1711485231
46,ayr,55.4627,-4.6339,4.96,81,40,9.26,GB,1711485231
47,port mathurin,-19.6833,63.4167,24.9,68,100,8.4,MU,1711485232
48,mthatha,-31.5889,28.7844,21.31,83,83,1.03,ZA,1711485232
49,udachny,66.4167,112.4,-27.99,99,100,2.49,RU,1711485232
50,invercargill,-46.4,168.35,8.34,85,100,3.13,NZ,1711485232
51,rundu,-17.9333,19.7667,23.33,43,44,1.88,NA,1711485232
52,tralee,52.2704,-9.7026,5.84,92,95,2.04,IE,1711485232
53,hermanus,-34.4187,19.2345,17.11,86,100,6.17,ZA,1711485232
54,trinidad,-14.8333,-64.9,32.99,55,40,1.03,BO,1711485232
55,qaqortoq,60.7167,-46.0333,-2.86,79,97,2.41,GL,1711485232
56,edinburgh of the seven seas,-37.0676,-12.3116,17.41,76,100,6.25,SH,1711485232
57,hauterive,46.0901,3.4459,7.42,96,100,1.48,FR,1711485232
58,fort bragg,35.139,-79.006,21.01,42,40,5.14,US,1711485232
59,kapuskasing,49.4169,-82.4331,5.05,75,100,9.26,CA,1711485233
60,san antonio de pale,-1.4014,5.6325,28.97,77,96,1.59,GQ,1711485233
61,stanley,54.868,-1.6985,5.77,93,75,4.63,GB,1711485233
62,carolina,18.3808,-65.9574,28.94,75,40,5.14,PR,1711484976
63,realeza,-25.7689,-53.5325,27.2,56,4,2.51,BR,1711485233
64,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1711485233
65,balsas,-7.5325,-46.0356,26.78,81,90,1.83,BR,1711485233
66,haifa,32.8156,34.9892,17.34,82,68,2.67,IL,1711485233
67,conceicao do mato dentro,-19.0372,-43.425,20.74,92,78,1.96,BR,1711485233
68,groningen,53.25,6.75,9.53,75,74,2.57,NL,1711485234
69,pokhvistnevo,53.6524,52.1274,4.09,97,100,7.58,RU,1711485235
70,santana,-0.0583,-51.1817,30.1,74,20,2.57,BR,1711485073
71,guerrero negro,27.9769,-114.0611,18.22,50,16,9.45,MX,1711484986
72,kavaratti,10.5669,72.642,28.36,68,7,3.45,IN,1711485235
73,hernando,28.5419,-82.4582,31.08,58,75,3.6,US,1711485235
74,waiuku,-37.25,174.75,20.18,88,62,4.53,NZ,1711485143
75,soure,-0.7167,-48.5233,26.12,85,89,4.76,BR,1711485236
76,nemuro,43.3236,145.575,-2.9,84,34,4.58,JP,1711485237
77,oued zem,32.8627,-6.5736,6.17,68,2,4.59,MA,1711485237
78,queenstown,-31.8976,26.8753,16.91,89,65,1.17,ZA,1711485238
79,susuman,62.7833,148.1667,-22.79,100,100,0.45,RU,1711485201
80,impfondo,1.6381,18.0667,23.98,89,98,0.48,CG,1711485238
81,longyearbyen,78.2186,15.6401,-14.09,72,100,2.06,SJ,1711485238
82,san rafael,-34.6177,-68.3301,32.31,29,54,1.61,AR,1711485239
83,port saint john's,-31.6229,29.5448,23.61,85,78,2.02,ZA,1711485239
84,port elizabeth,-33.918,25.5701,19.5,98,40,2.68,ZA,1711485239
85,albany,42.6001,-73.9662,11.96,94,100,1.66,US,1711485101
86,reina mercedes,16.9855,121.8266,23.81,90,18,0.19,PH,1711485239
87,mareeba,-17.0,145.4333,22.47,92,100,1.07,AU,1711485240
88,duki,30.1541,68.5728,22.35,39,100,0.49,PK,1711485240
89,chongjin,41.7956,129.7758,1.9,54,40,2.15,KP,1711485240
90,crane,31.3974,-102.3501,18.87,16,37,8.54,US,1711485240
91,puerto baquerizo moreno,-0.9,-89.6,28.55,84,75,6.17,EC,1711485010
92,riverton,40.5219,-111.9391,9.02,58,75,6.17,US,1711484829
93,afif,23.9065,42.9172,18.41,31,0,7.05,SA,1711485241
94,tura,25.5198,90.2201,17.61,85,27,1.72,IN,1711485241
95,tazacorte,28.629,-17.9293,17.54,73,40,8.23,ES,1711485242
96,vadso,70.0744,29.7487,-13.51,66,0,1.54,NO,1711485242
97,la passe,45.5549,-0.8967,7.21,80,100,4.99,FR,1711485242
98,richfield,44.8833,-93.283,-3.34,87,100,9.26,US,1711485152
99,revda,56.801,59.9303,1.64,98,100,3.74,RU,1711485243
100,novodvinsk,64.4165,40.8122,-2.14,92,99,1.87,RU,1711485244
101,vilyuchinsk,52.9306,158.4028,-3.85,76,70,2.97,RU,1711485244
102,kidal,18.4411,1.4078,29.83,22,62,5.91,ML,1711485245
103,stolac,43.0844,17.9575,8.88,93,100,1.76,BA,1711485245
104,sisimiut,66.9395,-53.6735,-8.53,91,95,3.16,GL,1711485077
105,ribeira grande,38.5167,-28.7,16.22,82,75,10.8,PT,1711485247
106,parauapebas,-6.0675,-49.9022,25.83,96,94,0.49,BR,1711485146
107,bredasdorp,-34.5322,20.0403,18.41,81,100,5.13,ZA,1711485248
108,kerikeri,-35.2268,173.9474,16.06,94,24,2.69,NZ,1711485248
109,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,58,75,3.0,RU,1711485043
110,sumbawa besar,-8.5,117.4333,22.46,92,65,1.91,ID,1711485248
111,keflavik,64.0049,-22.5624,-0.76,100,100,6.17,IS,1711485249
112,rimouski,48.4488,-68.524,0.82,93,100,5.34,CA,1711485088
113,okhotsk,59.3833,143.3,-13.18,95,100,2.77,RU,1711485141
114,bodaybo,57.8506,114.1933,-8.18,97,100,0.58,RU,1711485249
115,mersa matruh,31.3525,27.2453,21.11,28,0,2.57,EG,1711485250
116,ilulissat,69.2167,-51.1,-4.99,93,75,3.6,GL,1711485250
117,fale old settlement,-9.3852,-171.2468,29.4,75,100,6.92,TK,1711485250
118,dunedin,-45.8742,170.5036,8.22,84,72,5.36,NZ,1711485250
119,mount gambier,-37.8333,140.7667,10.51,91,0,1.36,AU,1711485251
120,thompson,55.7435,-97.8558,-7.91,32,20,5.14,CA,1711485251
121,sulak,43.2734,47.5146,10.07,78,100,5.34,RU,1711485251
122,lompoc,34.6391,-120.4579,21.12,63,0,9.26,US,1711485251
123,undurkhaan,47.3194,110.6556,-5.46,84,100,3.33,MN,1711485251
124,rio grande,-32.035,-52.0986,25.06,63,25,3.9,BR,1711485178
125,jamestown,42.097,-79.2353,9.2,74,100,7.2,US,1711485252
126,opuwo,-18.0607,13.84,22.37,66,67,1.36,NA,1711485252
127,tanout,14.9709,8.8879,27.84,8,16,3.79,NE,1711485252
128,santana do livramento,-30.8908,-55.5328,21.86,67,3,2.97,BR,1711485252
129,weno,7.4515,151.8468,27.97,89,100,3.09,FM,1711485252
130,qui nhon,13.7667,109.2333,25.08,88,6,1.91,VN,1711485252
131,tuy hoa,13.0833,109.3,23.77,93,7,0.77,VN,1711485252
132,college,64.8569,-147.8028,6.56,59,75,1.54,US,1711485253
133,brokopondo,4.75,-55.1667,30.66,60,96,1.37,SR,1711485253
134,chibougamau,49.9168,-74.3659,7.79,27,75,8.75,CA,1711485253
135,talara,-4.5772,-81.2719,32.42,55,0,5.66,PE,1711485253
136,ust-nera,64.5667,143.2,-18.92,88,100,1.3,RU,1711485144
137,raduzhnyy,62.0961,77.475,-5.56,97,100,2.84,RU,1711485253
138,flying fish cove,-10.4217,105.6791,25.82,88,75,4.63,CX,1711485254
139,faya-largeau,17.9257,19.1043,27.11,10,75,5.61,TD,1711485254
140,tual,-5.6667,132.75,28.91,74,100,3.13,ID,1711485254
141,codrington,-38.2667,141.9667,12.73,85,0,1.58,AU,1711485254
142,iskateley,67.6803,53.1512,-14.99,97,100,1.34,RU,1711485255
143,tchibanga,-2.85,11.0333,24.25,95,100,0.51,GA,1711485255
144,mangai,-4.05,19.5333,21.11,98,100,1.16,CD,1711485255
145,san patricio,28.017,-97.5169,25.97,31,1,3.31,US,1711485255
146,cockburn town,21.4612,-71.1419,24.65,63,100,4.8,TC,1711485255
147,viedma,-40.8135,-62.9967,26.7,46,100,5.18,AR,1711484907
148,shaping,22.7545,112.9565,26.01,81,98,5.19,CN,1711485255
149,hobyo,5.3505,48.5268,28.47,75,99,6.65,SO,1711485255
150,hamilton,39.1834,-84.5333,17.36,75,75,10.8,US,1711484904
151,mayahi,13.9553,7.6712,29.06,7,65,3.45,NE,1711485256
152,atafu village,-8.5421,-172.5159,29.93,71,100,7.26,TK,1711485256
153,el bauga,18.262,33.9081,22.97,15,0,5.03,SD,1711485256
154,fort st. john,56.2499,-120.8529,7.94,34,40,1.54,CA,1711485091
155,touros,-5.1989,-35.4608,28.19,78,97,4.99,BR,1711485256
156,aasiaat,68.7098,-52.8699,-8.04,91,100,4.36,GL,1711485256
157,sironj,24.1,77.7,26.56,23,10,3.31,IN,1711485256
158,smithers,54.7804,-127.1743,8.18,49,75,0.0,CA,1711485257
159,lihue,21.9789,-159.3672,25.58,82,100,8.23,US,1711485257
160,chadan,51.2833,91.5833,-13.44,85,40,1.66,RU,1711485257
161,mitu,1.1983,-70.1733,29.34,65,100,1.84,CO,1711485257
162,littlefield,33.9173,-102.3249,14.84,22,34,5.72,US,1711485113
163,mongoumba,3.6415,18.5936,24.46,80,100,1.14,CF,1711485257
164,kenora,49.8167,-94.4337,-7.46,73,100,8.75,CA,1711485257
165,sinabang,2.4803,96.3801,27.51,76,100,1.42,ID,1711485257
166,katiola,8.1333,-5.1,29.35,49,91,1.1,CI,1711485257
167,georgetown,5.4112,100.3354,28.96,83,20,2.06,MY,1711484991
168,feodosiya,45.0333,35.3833,7.0,87,100,7.98,UA,1711485258
169,merizo village,13.2658,144.6691,25.85,95,25,4.89,GU,1711485258
170,westport,41.1415,-73.3579,11.9,68,100,1.54,US,1711485195
171,choyr,46.3611,108.3611,-3.04,66,92,9.09,MN,1711485258
172,gaalkacyo,6.7697,47.4308,26.04,79,97,7.99,SO,1711485258
173,gadzhiyevo,69.2551,33.3362,-9.79,95,100,3.29,RU,1711485198
174,saint-joseph,-21.3667,55.6167,24.21,72,100,5.67,RE,1711485258
175,vorgashor,67.5833,63.95,-26.82,100,74,0.43,RU,1711485258
176,portland,45.5234,-122.6762,13.78,72,75,3.09,US,1711484976
177,haiku-pauwela,20.9219,-156.3051,26.79,74,40,7.72,US,1711485259
178,peace river,56.2501,-117.286,6.17,45,75,3.09,CA,1711485203
179,geraldton,-28.7667,114.6,14.23,72,0,2.06,AU,1711485259
180,poso,-1.3959,120.7524,25.02,90,100,1.12,ID,1711485259
181,quellon,-43.1167,-73.6167,13.96,75,99,2.09,CL,1711485259
182,dudinka,69.4058,86.1778,-30.18,95,40,3.58,RU,1711485259
183,chinch'on,36.8567,127.4433,3.63,100,40,0.51,KR,1711485259
184,chivacoa,10.1603,-68.895,35.17,33,49,4.15,VE,1711485259
185,petropavlovka,50.6114,105.3196,-6.93,60,100,9.05,RU,1711485259
186,chonchi,-42.6128,-73.8092,15.56,72,96,0.36,CL,1711485260
187,tynda,55.1667,124.7167,-9.55,100,99,0.79,RU,1711485260
188,silver city,32.7701,-108.2803,4.98,86,75,9.77,US,1711485260
189,avila,40.5833,-5.0,2.03,97,100,9.66,ES,1711485260
190,bowen,-20.0167,148.2333,25.25,92,100,2.98,AU,1711485260
191,eket,4.6412,7.9209,28.11,83,91,3.52,NG,1711485260
192,coquimbo,-29.9533,-71.3436,19.85,77,40,5.66,CL,1711485135
193,ladhewala waraich,32.1566,74.117,22.06,27,100,2.64,PK,1711485260
194,tazovsky,67.4667,78.7,-20.5,92,100,2.9,RU,1711485260
195,muravlenko,63.7898,74.523,-14.91,99,88,3.66,RU,1711485260
196,renqiu,38.6989,116.0936,11.5,79,100,2.81,CN,1711485261
197,bereznik,62.8551,42.7072,-3.03,96,99,0.78,RU,1711485261
198,remire-montjoly,4.9167,-52.2667,31.02,66,75,5.66,GF,1711485261
199,thabazimbi,-24.5917,27.4116,21.18,65,80,3.49,ZA,1711485261
200,cravinhos,-21.3403,-47.7294,22.4,94,100,0.91,BR,1711485261
201,cidreira,-30.1811,-50.2056,22.19,67,31,4.63,BR,1711485261
202,castillos,-34.1667,-53.8333,18.61,71,6,3.41,UY,1711485261
203,truro,50.2653,-5.0544,9.42,93,100,5.14,GB,1711485200
204,arkhangel'sk,64.5401,40.5433,-1.94,80,75,2.0,RU,1711485262
205,flin flon,54.7682,-101.865,-7.09,38,0,3.6,CA,1711485262
206,punta arenas,-53.15,-70.9167,13.06,58,75,12.86,CL,1711485009
207,biltine,14.5333,20.9167,29.36,11,59,3.25,TD,1711485262
208,mehdia daira de meghila,35.4306,1.7571,5.47,80,100,10.42,DZ,1711485262
209,klaksvik,62.2266,-6.589,1.51,62,100,12.22,FO,1711485262
210,kingston,17.997,-76.7936,31.53,57,20,6.69,JM,1711485075
211,utrik,11.2278,169.8474,26.83,72,84,8.52,MH,1711485262
212,ghormach,35.7306,63.7826,15.68,69,24,1.73,AF,1711485262
213,taltal,-25.4,-70.4833,20.88,77,27,1.3,CL,1711485021
214,nahiyat ash shinafiyah,31.5874,44.6602,19.67,30,3,4.31,IQ,1711485262
215,avarua,-21.2078,-159.775,30.03,79,20,3.6,CK,1711485262
216,vila velha,-20.3297,-40.2925,26.08,85,100,5.81,BR,1711484746
217,rawson,-43.3002,-65.1023,24.73,46,14,2.86,AR,1711485044
218,taoudenni,22.6783,-3.9836,26.12,23,3,4.5,ML,1711485263
219,whitehorse,60.7161,-135.0538,5.43,56,75,5.66,CA,1711485019
220,fortuna,40.5982,-124.1573,16.07,69,40,3.09,US,1711485263
221,sao joao da barra,-21.6403,-41.0511,23.99,86,100,4.24,BR,1711485061
222,kapa'a,22.0752,-159.319,25.99,82,100,8.23,US,1711485263
223,saint-francois,46.4154,3.9054,6.69,88,75,5.14,FR,1711485263
224,island harbour,50.724,-1.2758,7.74,93,100,0.45,GB,1711485263
225,hasaki,35.7333,140.8333,7.38,68,80,10.62,JP,1711485263
226,belel,7.05,14.4333,21.08,17,31,1.39,CM,1711485263
227,sirvan,39.9379,48.9286,10.36,59,70,3.29,AZ,1711485263
228,ambon,-3.6954,128.1814,26.6,95,40,2.06,ID,1711485263
229,nagqu,31.5,92.0,-4.34,14,100,5.56,CN,1711485264
230,pikalevo,59.5183,34.1664,-1.27,93,97,2.65,RU,1711485264
231,barsukovskaya,44.7632,41.8191,6.08,66,97,1.29,RU,1711485264
232,ketchikan,55.3422,-131.6461,8.52,77,74,2.72,US,1711485264
233,pereslavl'-zalesskiy,56.7393,38.8563,-2.54,99,99,1.22,RU,1711485146
234,korsakov,46.6328,142.7813,-11.09,83,7,2.0,RU,1711485138
235,jijel,36.8205,5.7667,12.97,76,75,7.2,DZ,1711485264
236,iwon-up,40.3231,128.6553,3.17,73,1,1.77,KP,1711485264
237,margate,51.3813,1.3862,10.5,92,100,0.89,GB,1711485145
238,minas de marcona,-15.2119,-75.1103,21.85,66,19,4.8,PE,1711485264
239,port alfred,-33.5906,26.891,20.1,95,100,0.89,ZA,1711485264
240,navolato,24.7672,-107.6944,26.1,15,0,6.93,MX,1711485179
241,suez,29.9737,32.5263,21.49,26,100,0.54,EG,1711485265
242,santa elena de uairen,4.6167,-61.1333,30.92,35,66,3.6,VE,1711485265
243,anadyr,64.75,177.4833,-19.72,71,40,7.0,RU,1711485265
244,mhango,-3.2833,32.85,19.35,94,100,1.39,TZ,1711485265
245,ingeniero guillermo n. juarez,-23.9,-61.85,35.1,22,0,3.94,AR,1711485265
246,dzhambeyty,50.2536,52.595,3.26,99,100,5.45,KZ,1711485265
247,eastham,41.8301,-69.9739,5.6,93,100,6.17,US,1711485266
248,marti,22.9475,-80.9203,31.88,40,84,2.59,CU,1711485266
249,port macquarie,-31.4333,152.9167,16.05,92,12,2.16,AU,1711485151
250,victoria falls,-17.9235,25.843,22.78,56,79,2.28,ZW,1711485267
251,rampur,28.8167,79.0333,21.94,30,86,1.83,IN,1711485267
252,coyhaique,-45.5752,-72.0662,16.34,48,40,3.6,CL,1711485009
253,prainha,-1.8,-53.48,27.72,84,81,1.29,BR,1711485267
254,bangassou,4.7413,22.8184,22.88,93,100,0.56,CF,1711485267
255,al ghayzah,16.2079,52.176,27.89,55,94,3.86,YE,1711485267
256,pangody,65.85,74.4859,-19.48,100,86,2.92,RU,1711485133
257,dwarka,22.2394,68.9678,25.02,83,24,5.54,IN,1711485268
258,cannonvale,-20.2833,148.7,25.66,87,100,2.04,AU,1711485268
259,ortona,42.3496,14.4039,12.44,89,74,1.62,IT,1711485268
260,afaahiti,-17.75,-149.2833,29.93,73,71,6.28,PF,1711485268
261,rampura,30.25,75.2333,22.69,29,96,1.48,IN,1711485268
262,nova odesa,47.3078,31.7851,5.21,94,100,3.15,UA,1711485268
263,kyzyl,51.7,94.45,-13.32,78,50,3.13,RU,1711485085
264,newborough,52.6389,-0.2233,10.57,88,75,2.06,GB,1711485270
265,arraial do cabo,-22.9661,-42.0278,23.98,88,100,3.6,BR,1711485270
266,fuerte olimpo,-21.0415,-57.8738,32.36,44,77,3.05,PY,1711485270
267,porbandar,21.6422,69.6093,25.26,76,39,4.95,IN,1711485271
268,xinqing,48.2333,129.5,-7.58,93,7,0.52,CN,1711485271
269,asekeyevo,53.5742,52.7972,3.94,97,100,7.35,RU,1711485271
270,katsuren-haebaru,26.3369,127.8719,18.01,75,100,2.57,JP,1711485271
271,nova sintra,14.8667,-24.7167,19.65,73,100,8.44,CV,1711485271
272,letlhakeng,-24.0944,25.0298,21.89,52,53,5.47,BW,1711485271
273,badger,64.8,-147.5333,6.51,64,75,1.54,US,1711485271
274,boguchany,58.3814,97.4531,-17.3,96,66,2.24,RU,1711485271
275,sant lluis,39.8526,4.2594,12.22,87,40,6.17,ES,1711485271
276,happy valley-goose bay,53.3168,-60.3315,-0.83,31,75,3.09,CA,1711485125
277,alexander city,32.944,-85.9539,16.77,100,75,2.57,US,1711485272
278,constitucion,-35.3333,-72.4167,20.99,70,48,8.31,CL,1711484998
279,safotu,-13.4513,-172.4018,29.37,75,90,3.79,WS,1711485272
280,hefei,31.8639,117.2808,11.01,87,80,2.0,CN,1711485272
